epoch,average_loss
1,0.7886114123830834
2,0.7462186468264292
3,0.7312387150209562
4,0.7193520916835072
5,0.7089906011494428
6,0.6994168225135667
7,0.693196912386776
8,0.6851351868952108
9,0.676368445269586
10,0.6705903999553074
11,0.6660680051581076
12,0.6593697750807782
13,0.6538619646679552
14,0.6479510098208855
15,0.6447813336118051
16,0.6395252736918045
17,0.6327213025401448
18,0.6283137944176377
19,0.6235687681267746
20,0.6222353220655449
21,0.6149479629759727
22,0.6139727557715792
23,0.607662612824638
24,0.6051372051279589
25,0.602013347387679
26,0.5987762552467311
27,0.5937652712354374
28,0.5924398923829106
29,0.5881498039194806
30,0.587681012952141
31,0.5847188206332488
32,0.5811474849327314
33,0.5768550440131441
34,0.577043936234741
35,0.572896619580326
36,0.5715566076252069
37,0.5667454082800305
38,0.5653239036697851
39,0.5634074991580335
40,0.5621616402051334
41,0.5583554829583028
42,0.5583230950257825
43,0.5560303140378388
44,0.5538496940648417
45,0.5476853741501528
46,0.5465398096080699
47,0.5477145442230674
48,0.5452603878234016
49,0.5397788619634
50,0.539727593706813
